tender_id,title,url,start_date,end_date,end_time,region,city,price,categories,category_urls
85583350,"Оказание услуг по диагностике, техническому обслуживанию и ремонту автотранспортных средств МБОУ ДО ЦДТ",https://rostender.info/region/moskovskaya-oblast/ruza/85583350-tender-okazanie-uslug-po-diagnostike-tehnicheskomu-obslujivaniyu-i-remontu-avtotransportnyh-sredstv-mbou-do-cdt, 02.08.25,03.08.2025,17:05,Московская область,г. Руза,—,['Ремонт и обслуживание автомобильной и спецтехники'],['https://rostender.info/tendery-remont-i-obslujivanie-avtomobilnoj-i-spectehniki']
85583349,Монтаж школьных досок и сборку мебели для интерната,https://rostender.info/region/saha-yakutiya-respublika/yakutsk/85583349-tender-montaj-shkolnyh-dosok-i-sborku-mebeli-dlya-internata, 02.08.25,03.08.2025,17:00,Саха /Якутия/ республика,г. Якутск,200 000 ₽,"['Мебель, Элементы интерьера']",['https://rostender.info/tendery-mebel-elementy-interera']
85583348,Поставка ТМЦ,https://rostender.info/region/chukotskij-avtonomnyj-okrug/anadyr/85583348-tender-postavka-tmc, 02.08.25,04.08.2025,03:00,Чукотский автономный округ,Анадырь,50 396 ₽,"['Вычислительное оборудование, Компьютеры, Серверы и их части']",['https://rostender.info/tendery-vychislitelnoe-oborudovanie-kompyutery-servery-i-ih-chasti']
85583346,техническое обследование состояния здания,https://rostender.info/region/leningradskaya-oblast/kingisepp/85583346-tender-tehnicheskoe-obsledovanie-sostoyaniya-zdaniya, 02.08.25,05.08.2025,00:00,Ленинградская область,г. Кингисепп,190 000 ₽,"['Обследование несущих конструкций, Дефектоскопия, Неразрушающий контроль']",['https://rostender.info/tendery-obsledovanie-nesushchih-konstrukcij-defektoskopiya-nerazrushayushchij-kontrol']
85583337,"на выполнение работ по ремонту помещений и благоустройству на заводе по розливу воды Адрес: 665921, Иркутская область, Слюдянский район, р. п. Байкал, ул. Вокзальная, 2. (координаты 51. 871745, 104. 800257)",https://rostender.info/region/irkutskaya-oblast/irkutsk/85583337-tender-na-vypolnenie-rabot-po-remontu-pomeshchenij-i-blagoustrojstvu-na-zavode-po-rozlivu-vody-adres-665921-irkutskaya-oblast, 02.08.25,18.08.2025,23:00,Иркутская область,"г. Иркутск; Слюдянский район,  поселок Байкал (порт)",—,"['Ремонт зданий и сооружений', 'Благоустройство и озеленение']","['https://rostender.info/tendery-remont-zdanij-i-soorujenij', 'https://rostender.info/tendery-blagoustrojstvo-i-ozelenenie']"
85583345,Костюмы карнавальные,https://rostender.info/region/leningradskaya-oblast/85583345-tender-kostyumy-karnavalnye, 02.08.25,03.08.2025,18:00,Ленинградская область,"Гатчинский район,  городской поселок Дружная Горка",60 000 ₽,['Оборудование для развлекательного бизнеса'],['https://rostender.info/tendery-oborudovanie-dlya-razvlekatelnogo-biznesa']
85583331,Аренда спецтехники,https://rostender.info/region/moskovskaya-oblast/85583331-tender-arenda-spectehniki, 02.08.25,05.08.2025,,Московская область,Московская обл,—,"['Спецтехника, Коммунальные машины, Автобусы']",['https://rostender.info/tendery-spectehnika-kommunalnye-mashiny-avtobusy']
85583333,Пожарные шкафы и щиты,https://rostender.info/region/moskva-gorod/85583333-tender-pojarnye-shkafy-i-shchity, 02.08.25,06.08.2025,,Москва город,г. Москва,—,"['Противопожарное оборудование, инвентарь и его обслуживание']",['https://rostender.info/tendery-protivopojarnoe-oborudovanie-inventar-i-ego-obslujivanie']
85583330,"Поставка расходных материалов, применяемых в медицинских целях",https://rostender.info/region/kurganskaya-oblast/kurgan/85583330-tender-postavka-rashodnyh-materialov-primenyaemyh-v-medicinskih-celyah, 02.08.25,11.08.2025,07:00,Курганская область,г. Курган,807 352 ₽,"['Медицинские расходные материалы, Средства реабилитации, Одноразовый медицинский инструмент']",['https://rostender.info/tendery-medicinskie-rashodnye-materialy-sredstva-reabilitacii-odnorazovyj-medicinskij-instrument']
85583344,электроинструменты и техника,https://rostender.info/region/kirovskaya-oblast/kirov/85583344-tender-elektroinstrumenty-i-tehnika, 02.08.25,02.08.2025,19:30,Кировская область,г. Киров,319 000 ₽,"['Инструменты', 'Оборудование, инвентарь, товары для сельского хозяйства']","['https://rostender.info/tendery-instrumenty', 'https://rostender.info/tendery-oborudovanie-inventar-tovary-dlya-selskogo-hozyajstva']"
